Container Name,Type,Num CPUs,Total Requests,Successful Requests,Failed Requests,Execution Time (s),Requests/s,Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%*s),Avg Mem (MB),Peak Mem (MB),Total Mem (MB*s),HTTP Max Workers
dy-erlang-cowboy-28-4-3,dynamic,8,100,100,0,0.11062335968017578,903.968206074295,0.0008492707429766654,0.007677137499999999,6,0.37666666666666665,0.94,0.565,99.75333333333333,99.81,149.63,System default
dy-erlang-cowboy-28-4-3,dynamic,8,1000,1000,0,0.7772257328033447,1286.6274980283265,0.11348756519370246,0.14601622206249998,8,0.30666666666666664,0.48,0.45999999999999996,90.01666666666667,90.41,135.025,System default
dy-erlang-cowboy-28-4-3,dynamic,8,5000,5000,0,3.803877353668213,1314.4482682067348,2.5708025124058045,0.6758373820666665,18,43.718,128.44,109.295,88.94800000000001,89.36,222.37,System default
dy-erlang-cowboy-28-4-3,dynamic,8,8000,8000,0,6.107349157333374,1309.8972719439223,5.707971909680021,0.9346071041028,25,64.54833333333333,134.95,193.645,91.105,91.65,273.315,System default
dy-erlang-cowboy-28-4-3,dynamic,8,10000,10000,0,8.788297653198242,1137.8767987405154,10.169395193182295,1.1571518847545454,22,69.30142857142857,138.44,242.555,89.62714285714286,90.19,313.695,System default
dy-erlang-cowboy-28-4-3,dynamic,8,15000,15000,0,11.70315146446228,1281.7060469181238,16.589805636673333,1.4175502801147057,34,72.26555555555555,121.46,325.195,90.32777777777777,91.1,406.47499999999997,System default
dy-erlang-cowboy-28-4-3,dynamic,8,20000,20000,0,16.99145770072937,1177.0620480161326,23.595420928353086,1.3886637240865,40,87.7909090909091,141.37,482.85,89.64727272727272,91.61,493.06,System default
dy-erlang-cowboy-28-4-3,dynamic,8,30000,28231,1769,30.836041688919067,972.8875159349814,40.88435758294447,1.3258627029822787,79,82.42,129.06,741.78,88.46666666666667,91.32,796.2,System default
dy-erlang-cowboy-28-4-3,dynamic,8,40000,28232,11768,57.526345014572144,695.3335900250138,83.5348619629292,1.452114886523188,69,46.47,134.62,720.285,83.9016129032258,87.35,1300.475,System default
dy-erlang-cowboy-28-4-3,dynamic,8,50000,36481,13519,68.86337065696716,726.0754087839775,98.81244940830278,1.4349057919415908,88,50.32837837837838,142.13,931.075,89.88243243243244,93.0,1662.825,System default
dy-erlang-cowboy-28-4-3,dynamic,8,60000,46638,13362,78.79854106903076,761.4354172806009,104.94678343767386,1.331836630652034,118,59.62404761904762,132.16,1252.105,85.38214285714287,88.5,1793.025,System default
dy-erlang-cowboy-28-4-3,dynamic,8,70000,56463,13537,91.34164118766785,766.3536486735558,117.17519923215954,1.2828234495088042,159,64.06104166666667,131.87,1537.465,87.013125,90.41,2088.315,System default
dy-erlang-cowboy-28-4-3,dynamic,8,80000,56464,23536,119.41882395744324,669.9111358566824,160.41483301614426,1.3432960374263154,152,51.640967741935484,140.28,1600.87,90.96225806451612,94.86,2819.83,System default
