Container Name,Test Type,Num CPUs,Total Messages,Successful Messages,Failed Messages,Execution Time (s),Messages/s,Throughput (MB/s),Avg Latency (ms),Min Latency (ms),Max Latency (ms),Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%),Avg Mem (MB),Peak Mem (MB),Total Mem (MB),Pattern,Num Clients,Message Size (KB),Rate (msg/s),Bursts,Interval (s),Duration (s)
ws-elixir-cowboy-1-16,stream_5_8_10_5,8,245,245,0,5.046455383300781,48.54892818645126,0.3792885014566505,1.3571069550306099,0.3097160006291233,2.2364370015566237,0.04303086583381425,0.008526948633333335,18,4.504,9.16,22.519999999999996,72.898,73.49,364.49,stream,5,8,10,,,5
ws-elixir-cowboy-1-16,stream_5_1024_10_5,8,222,222,0,5.136816740036011,43.21742651820662,43.21742651820662,12.477136112736204,3.515374002745375,22.828585999377538,0.25581578918951725,0.0498004507725,16,19.270000000000003,50.06,96.35000000000002,90.374,97.83,451.87,stream,5,1024,10,,,5
ws-elixir-cowboy-1-16,stream_5_65536_10_5,8,47,47,0,5.786745548248291,8.122009099609953,519.808582375037,430.4406105960531,213.53203800026677,823.3273030018609,4.803173973613293,0.8300302706531247,32,66.45166666666667,178.26,398.71000000000004,1067.734,1907.712,6406.4039999999995,stream,5,65536,10,,,5
ws-elixir-cowboy-1-16,stream_50_8_10_5,8,2450,2450,0,5.1981730461120605,471.31943824618565,3.6821831112983254,2.0665009522900264,0.287840000964934,16.91401400239556,0.20532393371613583,0.0394992494275862,29,29.195999999999998,65.65,145.98,77.636,83.73,388.17999999999995,stream,50,8,10,,,5
ws-elixir-cowboy-1-16,stream_50_1024_10_5,8,1385,1385,0,5.357783317565918,258.502428692696,258.502428692696,64.7096653104321,3.3090819997596554,247.66293200082146,2.791374099603289,0.520994212373529,34,127.07399999999998,276.34,635.3699999999999,168.17000000000002,227.1,840.8500000000001,stream,50,1024,10,,,5
ws-elixir-cowboy-1-16,stream_50_65536_10_5,8,53,53,0,11.173218250274658,4.743485611112731,303.5830791112148,6862.645353131637,2180.4420059997938,10132.541858998593,16.754296841869095,1.4995050187493872,49,110.34375,539.77,882.75,2311.779,4937.728,18494.232,stream,50,65536,10,,,5
ws-elixir-cowboy-1-16,stream_100_8_10_5,8,4876,4876,0,5.2663445472717285,925.8794133638769,7.233432916905288,2.5067367307434276,0.2550089993746951,57.01766299898736,0.7189201030041669,0.136512166371,20,59.972,133.02,299.86,84.852,91.11,424.26,stream,100,8,10,,,5
ws-elixir-cowboy-1-16,stream_100_1024_10_5,8,3181,3181,0,5.541902542114258,573.9906062632483,573.9906062632483,47.79862601663899,3.5604619988589548,424.4908199980273,9.136917071642909,1.6486968152560004,30,141.868,308.77,709.3399999999999,202.09,301.6,1010.45,stream,100,1024,10,,,5
ws-elixir-cowboy-1-16,stream_100_65536_10_5,8,100,100,0,21.56264615058899,4.637649725438196,296.80958242804456,14010.694061659742,8104.514858001494,19602.10046499924,43.20838887060448,2.0038537278238566,70,148.3153846153846,667.84,1928.1,3532.6424615384612,8976.384,45924.352,stream,100,65536,10,,,5
