Container Name,Test Type,Num CPUs,Total Messages,Successful Messages,Failed Messages,Execution Time (s),Messages/s,Throughput (MB/s),Avg Latency (ms),Min Latency (ms),Max Latency (ms),Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%),Avg Mem (MB),Peak Mem (MB),Total Mem (MB),Pattern,Num Clients,Message Size (KB),Rate (msg/s),Bursts,Interval (s),Duration (s)
ws-erlang-cowboy-27,payload_5_8,8,15,15,0,1.521388292312622,9.859415953043058,0.07702668713314889,1.2789889326086268,0.28349499916657805,2.139209995220881,0.0023384044069232933,0.0015370201142857138,7,0.6733333333333333,1.13,2.02,85.02333333333333,85.11,255.07,burst,5,8,,3,0.5,
ws-erlang-cowboy-27,payload_5_1024,8,15,15,0,1.593205451965332,9.414981590413486,9.414981590413486,20.56849753377416,14.93058600317454,25.35344199714018,0.010886712170193262,0.006833212977500001,8,2.2025,6.64,8.81,95.5675,100.4,382.27,burst,5,1024,,3,0.5,
ws-erlang-cowboy-27,payload_5_65536,8,15,15,0,7.11778998374939,2.1073956992614935,134.87332475273558,1659.400629332231,941.854388001957,2004.35739599925,5.198016067309414,0.7302851136626668,30,74.43,175.84,446.58000000000004,802.6746666666667,1148.928,4816.048,burst,5,65536,,3,0.5,
