Container Name,Test Type,Num CPUs,Total Messages,Successful Messages,Failed Messages,Execution Time (s),Messages/s,Throughput (MB/s),Avg Latency (ms),Min Latency (ms),Max Latency (ms),Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%),Avg Mem (MB),Peak Mem (MB),Total Mem (MB),Pattern,Num Clients,Message Size (KB),Rate (msg/s),Bursts,Interval (s),Duration (s)
ws-erlang-yaws-27,concurrency_100_8,8,300,300,0,1.7225747108459473,174.1579033472932,1.3606086199007281,11.446065843241135,0.7435080042341724,55.74596299993573,0.04399905112270116,0.025542608309333335,15,20.585,81.06,82.34,77.6775,97.43,310.71,burst,100,8,,3,0.5,
ws-erlang-yaws-27,concurrency_1000_8,8,3000,3000,0,2.3983240127563477,1250.8735200262445,9.772449375205035,77.16192914567121,3.082795003138017,217.6798900036374,0.772330590103464,0.3220292946222222,18,87.65,348.5,350.6,269.925,392.8,1079.7,burst,1000,8,,3,0.5,
ws-erlang-yaws-27,concurrency_5000_8,8,15000,15000,0,5.169241189956665,2901.7798645463763,22.670155191768565,276.8978287450329,1.2558369999169372,604.2839170040679,12.97774541124283,2.510570688103572,28,179.05,681.87,895.25,539.6036,1399.808,2698.018,burst,5000,8,,3,0.5,
