Container Name,Type,Num CPUs,Total Requests,Successful Requests,Failed Requests,Execution Time (s),Requests/s,Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%*s),Avg Mem (MB),Peak Mem (MB),Total Mem (MB*s),HTTP Max Workers
st-gleam-pure-1-15-2,static,8,100,100,0,0.1401360034942627,713.5924923397298,0.00034682458077512035,0.0024749141700000006,10,0.6166666666666666,0.82,0.9249999999999999,56.343333333333334,57.9,84.515,100
st-gleam-pure-1-15-2,static,8,1000,1000,0,0.7465817928314209,1339.4379686216125,0.20922881738000138,0.2802490221285714,7,0.9066666666666666,1.2,1.3599999999999999,69.48666666666666,82.77,104.22999999999999,100
st-gleam-pure-1-15-2,static,8,5000,5000,0,4.029353857040405,1240.8937455973505,2.9379972623466735,0.729148485485625,16,45.57,121.6,113.925,68.10799999999999,73.71,170.26999999999998,100
st-gleam-pure-1-15-2,static,8,8000,8000,0,6.4009130001068115,1249.8217051015229,6.471737633229168,1.0110647704665217,23,69.77166666666666,158.81,209.315,72.58,79.77,217.73999999999998,100
st-gleam-pure-1-15-2,static,8,10000,10000,0,8.155174970626831,1226.2152603736681,7.815258696104239,0.9583189476931033,29,68.11999999999999,129.1,238.42,71.15714285714286,80.96,249.04999999999998,100
st-gleam-pure-1-15-2,static,8,15000,15000,0,12.879333257675171,1164.6565625639869,14.446045102058141,1.1216454154138236,34,72.2188888888889,119.67,324.985,80.46222222222222,93.49,362.08,100
st-gleam-pure-1-15-2,static,8,20000,20000,0,18.223065614700317,1097.5101787410704,24.55515582583753,1.3474766729714893,47,85.09083333333334,125.4,510.545,76.36916666666666,85.11,458.215,100
st-gleam-pure-1-15-2,static,8,30000,28231,1769,32.10760974884033,934.3579367842399,47.69162715764151,1.4853683450965716,70,82.42631578947369,140.08,783.0500000000001,86.46421052631578,91.7,821.41,100
st-gleam-pure-1-15-2,static,8,40000,28232,11768,58.60049748420715,682.58806182968,99.19446519729026,1.69272394358125,64,50.49125,161.65,807.86,79.61875,86.04,1273.9,100
st-gleam-pure-1-15-2,static,8,50000,36967,13033,69.84524202346802,715.8683763054323,103.22077768459167,1.477849810441053,95,58.86631578947369,166.68,1118.46,77.17078947368421,92.94,1466.245,100
st-gleam-pure-1-15-2,static,8,60000,46953,13047,79.8075442314148,751.8086238316063,111.21008939038298,1.393478404346229,122,63.04744186046511,166.77,1355.52,84.3106976744186,91.75,1812.68,100
st-gleam-pure-1-15-2,static,8,70000,56463,13537,93.8824188709259,745.6135114737446,128.33688847676243,1.3669959724110454,172,75.1836,162.11,1879.59,74.7852,80.12,1869.63,100
st-gleam-pure-1-15-2,static,8,80000,56464,23536,122.11699318885803,655.1094807606122,193.93220058382556,1.5880852903404108,146,56.9325,167.46,1821.84,81.323125,93.98,2602.34,100
