Container Name,Type,Num CPUs,Total Requests,Successful Requests,Failed Requests,Execution Time (s),Requests/s,Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%*s),Avg Mem (MB),Peak Mem (MB),Total Mem (MB*s),HTTP Max Workers
st-erlang-yaws-28-4-3,static,8,100,100,0,0.20056653022766113,498.5876750547111,0.0015093021456962453,0.007525194477777778,9,0.7766666666666667,1.63,1.165,67.44,68.0,101.16,100
st-erlang-yaws-28-4-3,static,8,1000,1000,0,0.9365952014923096,1067.6971208123482,0.22942080909640086,0.24495193732666656,9,1.0933333333333333,1.28,1.64,71.33666666666666,75.18,107.005,100
st-erlang-yaws-28-4-3,static,8,5000,5000,0,3.9258899688720703,1273.5965703686106,3.495098531704288,0.8902691006157896,19,56.608000000000004,151.94,141.52,73.168,74.8,182.92000000000002,100
st-erlang-yaws-28-4-3,static,8,8000,8000,0,6.455275535583496,1239.296441476665,7.5104742646638645,1.16346300375,28,84.31,171.72,252.93,71.88333333333334,73.63,215.65,100
st-erlang-yaws-28-4-3,static,8,10000,10000,0,8.154642581939697,1226.295315768623,9.688399633344266,1.1880839087664519,31,80.63714285714286,155.12,282.23,73.02142857142857,74.57,255.575,100
st-erlang-yaws-28-4-3,static,8,15000,15000,0,12.79719352722168,1172.131996604771,18.36301759296164,1.434925364995111,45,111.36666666666666,173.32,501.15,74.90222222222222,77.32,337.06,100
st-erlang-yaws-28-4-3,static,8,20000,20000,0,18.352720499038696,1089.756693077061,31.61383838810189,1.7225695988645282,53,120.86416666666666,200.24,725.185,74.73666666666666,76.7,448.42,100
st-erlang-yaws-28-4-3,static,8,30000,28231,1769,32.40598678588867,925.7548674019589,73.0804155407389,2.2551516799532263,62,120.95315789473685,197.5,1149.055,75.79157894736842,77.31,720.02,100
st-erlang-yaws-28-4-3,static,8,40000,28232,11768,58.95860981941223,678.4420481167778,118.08737769295814,2.0028860594687505,64,60.213125,204.05,963.41,78.949375,80.85,1263.19,100
st-erlang-yaws-28-4-3,static,8,50000,36985,13015,70.06592798233032,713.6136127763743,123.86542266952426,1.7678410353854366,103,75.01526315789474,230.29,1425.29,72.68868421052632,76.47,1381.085,100
st-erlang-yaws-28-4-3,static,8,60000,47328,12672,81.44133067131042,736.7266657534658,138.32342185313863,1.6984425562912153,148,92.49627906976744,221.86,1988.67,72.87232558139536,75.98,1566.755,100
st-erlang-yaws-28-4-3,static,8,70000,56463,13537,95.73895764350891,731.1548164191444,167.30362179037337,1.7474978410914057,192,104.705,244.68,2617.625,74.8096,78.12,1870.24,100
st-erlang-yaws-28-4-3,static,8,80000,56916,23084,123.53387093544006,647.5956706789244,187.73276872074058,1.5196866033514926,221,83.7878125,242.34,2681.21,74.74140625,78.71,2391.725,100
