Container Name,Type,Num CPUs,Total Requests,Successful Requests,Failed Requests,Execution Time (s),Requests/s,Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%*s),Avg Mem (MB),Peak Mem (MB),Total Mem (MB*s),HTTP Max Workers
dy-gleam-index-1-15-2,dynamic,8,100,100,0,0.1764538288116455,566.7204881495904,0.0004978880239909745,0.0028216334400000005,10,0.9566666666666667,2.19,1.435,55.73666666666666,58.73,83.60499999999999,100
dy-gleam-index-1-15-2,dynamic,8,1000,1000,0,0.9996778964996338,1000.3222072844604,0.2417142957669918,0.24179217787384613,13,1.22,2.38,1.83,66.04,73.61,99.06,100
dy-gleam-index-1-15-2,dynamic,8,5000,5000,0,4.167750120162964,1199.6880465099703,4.108109293993795,0.9856899227521738,23,86.736,222.43,216.84,73.652,81.84,184.13,100
dy-gleam-index-1-15-2,dynamic,8,8000,8000,0,6.7702107429504395,1181.6471161300396,6.855236169652318,1.0125587562825,32,83.09333333333333,168.59,249.28,70.47500000000001,85.88,211.425,100
dy-gleam-index-1-15-2,dynamic,8,10000,10000,0,8.481791019439697,1178.9962729664842,12.354763593811459,1.4566220230485716,35,114.17142857142858,222.99,399.6,69.89571428571428,77.5,244.635,100
dy-gleam-index-1-15-2,dynamic,8,15000,15000,0,13.339218378067017,1124.5036684206116,21.02918148359396,1.576492781478947,38,130.04222222222222,202.74,585.19,83.88888888888889,93.29,377.5,100
dy-gleam-index-1-15-2,dynamic,8,20000,20000,0,19.085522174835205,1047.914739601443,29.68730079185977,1.5554880039385721,70,142.04833333333332,220.51,852.29,73.92999999999999,79.21,443.58,100
dy-gleam-index-1-15-2,dynamic,8,30000,28231,1769,33.14185047149658,905.1999080679363,58.70412514846594,1.7712989562533334,90,125.64157894736843,210.34,1193.595,75.11368421052632,79.18,713.58,100
dy-gleam-index-1-15-2,dynamic,8,40000,28232,11768,59.47339153289795,672.5696814830853,107.56704895580252,1.8086583963569887,93,77.67375,221.7,1242.78,83.4853125,86.98,1335.765,100
dy-gleam-index-1-15-2,dynamic,8,50000,37405,12595,70.63409042358398,707.8734885684254,114.6951115025583,1.6237925740212096,124,78.30684210526316,203.59,1487.83,74.88763157894736,85.71,1422.865,100
dy-gleam-index-1-15-2,dynamic,8,60000,47547,12453,81.82305145263672,733.2896895776493,141.8264093283249,1.7333307278379997,150,85.35227272727273,196.57,1877.75,76.11795454545455,83.57,1674.595,100
dy-gleam-index-1-15-2,dynamic,8,70000,56463,13537,96.22157621383667,727.4875631265537,149.4462245919986,1.5531467106699528,213,95.7378431372549,205.39,2441.315,77.58470588235295,87.5,1978.41,100
dy-gleam-index-1-15-2,dynamic,8,80000,56514,23486,123.12037229537964,649.7706147937158,198.68250845366111,1.6137256958336628,202,74.28046875,209.33,2376.975,82.4559375,95.5,2638.59,100
