Container Name,Type,Num CPUs,Total Requests,Successful Requests,Failed Requests,Execution Time (s),Requests/s,Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%*s),Avg Mem (MB),Peak Mem (MB),Total Mem (MB*s),HTTP Max Workers
dy-erlang-yaws-28-4-3,dynamic,8,100,100,0,0.1442101001739502,693.4327060266739,0.001008481012021889,0.006993137171428571,7,0.3933333333333333,0.82,0.59,67.85000000000001,68.0,101.775,100
dy-erlang-yaws-28-4-3,dynamic,8,1000,1000,0,0.7915942668914795,1263.273424057139,0.1266956197248537,0.1600512093428571,14,1.22,1.8,1.83,69.42333333333333,71.43,104.135,100
dy-erlang-yaws-28-4-3,dynamic,8,5000,5000,0,3.965756893157959,1260.7933705231403,3.8269021978456337,0.9649865841368419,19,63.126,160.0,157.815,69.72200000000001,72.31,174.305,100
dy-erlang-yaws-28-4-3,dynamic,8,8000,8000,0,6.334916353225708,1262.8422466740922,7.009641449375877,1.106508919538709,31,82.75666666666666,170.96,248.26999999999998,73.68833333333333,77.47,221.065,100
dy-erlang-yaws-28-4-3,dynamic,8,10000,10000,0,8.025932788848877,1245.9610942536008,8.761387706447646,1.0916348213905553,36,93.46428571428571,175.68,327.125,72.04428571428572,74.98,252.155,100
dy-erlang-yaws-28-4-3,dynamic,8,15000,15000,0,12.907964706420898,1162.073211475272,17.093426955776362,1.3242542371744679,47,104.84666666666666,170.13,471.81,72.9011111111111,77.48,328.055,100
dy-erlang-yaws-28-4-3,dynamic,8,20000,20000,0,18.41981554031372,1085.7872032555308,31.200459432478585,1.6938529793739285,56,118.19166666666666,171.47,709.15,75.09333333333333,77.63,450.56,100
dy-erlang-yaws-28-4-3,dynamic,8,30000,28231,1769,32.49983310699463,923.0816632576302,61.70102756697779,1.8985029050410251,78,113.88315789473685,188.46,1081.89,73.52842105263157,78.36,698.52,100
dy-erlang-yaws-28-4-3,dynamic,8,40000,28232,11768,59.15145516395569,676.2301939847163,126.82319066616466,2.1440417706485295,68,67.86375,202.98,1085.82,76.7025,80.05,1227.24,100
dy-erlang-yaws-28-4-3,dynamic,8,50000,37090,12910,70.39567589759827,710.2708989218737,122.80038684626135,1.7444308230649577,117,82.31815789473684,225.91,1564.045,78.0728947368421,83.45,1483.385,100
dy-erlang-yaws-28-4-3,dynamic,8,60000,47103,12897,81.02571654319763,740.5056389475052,155.53266247872455,1.9195468934335764,137,94.82232558139535,211.88,2038.68,78.83279069767441,86.09,1694.905,100
dy-erlang-yaws-28-4-3,dynamic,8,70000,56463,13537,95.8985366821289,729.9381452714574,166.17361995053923,1.732806627710581,189,103.6021568627451,229.04,2641.855,75.94019607843137,80.75,1936.475,100
dy-erlang-yaws-28-4-3,dynamic,8,80000,56803,23197,122.92048192024231,650.8272563713872,195.15725103521103,1.5876707281528557,210,80.81359375,248.75,2586.035,79.52640625,87.09,2544.845,100
