Container Name,Test Type,Num CPUs,Total Messages,Successful Messages,Failed Messages,Execution Time (s),Messages/s,Throughput (MB/s),Avg Latency (ms),Min Latency (ms),Max Latency (ms),Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%*s),Avg Mem (MB),Peak Mem (MB),Total Mem (MB*s),Pattern,Num Clients,Message Size (KB),Rate (msg/s),Bursts,Interval (s),Duration (s)
ws-elixir-cowboy-1-19-5,payload_5_8,8,15,15,0,1.521904468536377,9.856071987504954,0.07700056240238246,1.3539984009791322,0.4224110016366467,2.188702997955261,0.0016851682923030853,0.001107276,10,0.8633333333333333,1.2,1.295,74.57666666666667,74.64,111.86500000000001,burst,5,8,,3,0.5,
ws-elixir-cowboy-1-19-5,payload_5_1024,8,15,15,0,1.5580496788024902,9.627420873722672,9.627420873722672,9.46779220054547,6.228506001207279,17.611015002330532,0.003911980318033562,0.0025108187314285715,14,1.7475,4.32,3.495,80.3925,86.85,160.785,burst,5,1024,,3,0.5,
ws-elixir-cowboy-1-19-5,payload_5_65536,8,15,15,0,3.336989641189575,4.4950693927394925,287.6844411353275,460.42447513342876,350.5102329982037,780.443223000475,0.8459192827167971,0.25349772509789464,19,25.0675,94.56,50.135,763.0365,1166.336,1526.073,burst,5,65536,,3,0.5,
