Container Name,Test Type,Num CPUs,Total Messages,Successful Messages,Failed Messages,Execution Time (s),Messages/s,Throughput (MB/s),Avg Latency (ms),Min Latency (ms),Max Latency (ms),Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%*s),Avg Mem (MB),Peak Mem (MB),Total Mem (MB*s),Pattern,Num Clients,Message Size (KB),Rate (msg/s),Bursts,Interval (s),Duration (s)
ws-erlang-yaws-28-4-3,concurrency_100_8,8,300,300,0,1.7487468719482422,171.55141479439862,1.3402454280812393,16.285051286710466,1.2396509991958737,70.11187899843208,0.04387716884395356,0.02509063464117647,17,15.1775,58.38,30.355,111.4225,141.7,222.845,burst,100,8,,3,0.5,
ws-erlang-yaws-28-4-3,concurrency_1000_8,8,3000,3000,0,2.4368810653686523,1231.0818294064584,9.617826792237956,82.15310494432804,1.7639360012253746,249.61893300132942,0.6960926780597372,0.2856490158474074,27,79.7425,315.66,159.485,395.3975,623.5,790.795,burst,1000,8,,3,0.5,
ws-erlang-yaws-28-4-3,concurrency_5000_8,8,15000,15000,0,5.431604862213135,2761.6147309154912,21.575115085277275,312.0272442209365,0.36290100251790136,932.6293769991025,14.102724803875432,2.5964195042953118,32,186.74200000000002,676.08,466.855,597.67,1653.76,1494.175,burst,5000,8,,3,0.5,
