Container Name,Test Type,Num CPUs,Total Messages,Successful Messages,Failed Messages,Execution Time (s),Messages/s,Throughput (MB/s),Avg Latency (ms),Min Latency (ms),Max Latency (ms),Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%*s),Avg Mem (MB),Peak Mem (MB),Total Mem (MB*s),Pattern,Num Clients,Message Size (KB),Rate (msg/s),Bursts,Interval (s),Duration (s)
ws-elixir-cowboy-1-19-5,stream_5_8_10_5,8,245,245,0,5.040041923522949,48.610706759507856,0.3797711465586551,1.3640481020901256,0.323499996738974,2.001996002945816,0.024406073870274964,0.004842434694117646,17,2.5759999999999996,5.73,6.4399999999999995,78.70599999999999,79.55,196.765,stream,5,8,10,,,5
ws-elixir-cowboy-1-19-5,stream_5_1024_10_5,8,222,222,0,5.1293785572052,43.280096706482745,43.280096706482745,12.771966310931413,3.004141999554122,25.227359001291916,0.2081205009331878,0.040574213545,20,21.541999999999998,58.44,53.855,104.58600000000001,120.0,261.46500000000003,stream,5,1024,10,,,5
ws-elixir-cowboy-1-19-5,stream_5_65536_10_5,8,46,46,0,5.664829730987549,8.120279370158727,519.6978796901585,447.0848210215121,277.07271899998887,855.839242998627,4.2981870519662255,0.7587495575470586,34,66.09,183.14,198.27,1118.7333333333333,1847.296,3356.2000000000003,stream,5,65536,10,,,5
ws-elixir-cowboy-1-19-5,stream_50_8_10_5,8,2450,2450,0,5.232140064239502,468.2596356212246,3.6582784032908173,2.288897341612919,0.3170439995301422,17.063003997463966,0.21359081398368615,0.040822839480833324,24,29.468,61.36,73.67,81.214,87.34,203.035,stream,50,8,10,,,5
ws-elixir-cowboy-1-19-5,stream_50_1024_10_5,8,1335,1335,0,5.298973321914673,251.9355956141379,251.9355956141379,69.18722619542378,3.305857000668766,162.07490300075733,2.4134688159522457,0.45545970310342865,35,120.97,289.19,302.425,169.634,242.1,424.085,stream,50,1024,10,,,5
ws-elixir-cowboy-1-19-5,stream_50_65536_10_5,8,52,52,0,11.1292884349823,4.672356216103649,299.03079783063356,6914.939722826812,1029.0591140001197,10064.062747998832,15.206016042661224,1.3663062226749996,52,109.7625,499.3,439.05,2612.58225,5451.776,10450.329,stream,50,65536,10,,,5
ws-elixir-cowboy-1-19-5,stream_100_8_10_5,8,4876,4876,0,5.2737390995025635,924.5811952396205,7.223290587809535,2.439690787737458,0.23085600332706235,62.65406999955303,0.6601702537642351,0.12518068135500002,26,59.763999999999996,126.14,149.41,93.806,106.7,234.515,stream,100,8,10,,,5
ws-elixir-cowboy-1-19-5,stream_100_1024_10_5,8,3066,3066,0,5.363138914108276,571.6801390198152,571.6801390198152,51.69443356262479,3.26623799992376,302.61271300332737,7.043968541695479,1.3134040819203119,32,137.778,305.98,344.445,197.536,311.6,493.84000000000003,stream,100,1024,10,,,5
ws-elixir-cowboy-1-19-5,stream_100_65536_10_5,8,100,100,0,21.726016521453857,4.602776579003918,294.57770105625076,14295.056152560246,9005.614843998046,19606.403313002374,32.44878584284988,1.4935451149458336,96,135.62785714285715,673.31,949.395,3621.2914285714287,9126.912,25349.04,stream,100,65536,10,,,5
