Container Name,Type,Num CPUs,Total Requests,Successful Requests,Failed Requests,Execution Time (s),Requests/s,Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%*s),Avg Mem (MB),Peak Mem (MB),Total Mem (MB*s),HTTP Max Workers
dy-erlang-index-28-4-3,dynamic,8,100,100,0,1.5389037132263184,64.98132348407268,0.011777734328863296,0.007653327643333333,6,1.85,5.79,3.7,52.265,52.35,104.53,100
dy-erlang-index-28-4-3,dynamic,8,1000,1000,0,4.470571041107178,223.68507083433818,0.5937455506898687,0.1328120155636364,11,2.782,11.94,6.955,46.618,46.9,116.545,100
dy-erlang-index-28-4-3,dynamic,8,5000,5000,0,3.8931729793548584,1284.2994715401921,2.8693355579850377,0.7370172281583333,18,53.501999999999995,145.02,133.755,48.942,49.89,122.355,100
dy-erlang-index-28-4-3,dynamic,8,8000,8000,0,6.589334487915039,1214.083154326457,7.689109187016336,1.1669022419666666,21,73.70666666666666,155.88,221.12,51.37833333333333,53.89,154.135,100
dy-erlang-index-28-4-3,dynamic,8,10000,9996,4,7.97176718711853,1254.4270003467818,8.705883214591967,1.0920894966249999,24,69.51,140.7,243.285,52.61,54.94,184.135,100
dy-erlang-index-28-4-3,dynamic,8,15000,15000,0,12.548887729644775,1195.3250617235867,17.32916998400106,1.3809327453829727,37,103.97333333333333,174.57,467.88,53.093333333333334,56.72,238.92000000000002,100
dy-erlang-index-28-4-3,dynamic,8,20000,20000,0,17.76294445991516,1125.9394547527354,24.80970940251484,1.3967115338620688,58,106.40166666666666,188.3,638.41,56.50583333333333,62.47,339.03499999999997,100
dy-erlang-index-28-4-3,dynamic,8,30000,30000,0,25.956395149230957,1155.7845312309805,54.65105162891306,2.10549466960678,59,138.523125,210.32,1108.185,61.10375,67.74,488.83,100
dy-erlang-index-28-4-3,dynamic,8,40000,40000,0,35.211787700653076,1135.9832207342918,77.8437718888074,2.2107304676088235,102,164.5165,240.18,1645.165,58.638,67.68,586.38,100
dy-erlang-index-28-4-3,dynamic,8,50000,49955,45,44.181764125823975,1131.6886274075982,109.8635124481299,2.486625752092034,118,168.3296,243.59,2104.12,78.74119999999999,146.8,984.265,100
dy-erlang-index-28-4-3,dynamic,8,60000,59972,28,55.2647500038147,1085.6830076288854,134.3235968652034,2.430547444002399,150,174.505,260.56,2617.575,89.35066666666667,182.3,1340.26,100
dy-erlang-index-28-4-3,dynamic,8,70000,69899,101,68.725106716156,1018.5506191952452,169.22631674178047,2.462365281449588,170,170.6727027027027,306.75,3157.445,112.20972972972973,288.5,2075.88,100
dy-erlang-index-28-4-3,dynamic,8,80000,79918,82,84.45120358467102,947.2925974322173,255.19996936609482,3.0218630230678785,165,165.63155555555556,249.27,3726.71,118.17511111111111,235.5,2658.94,100
