Container Name,Type,Num CPUs,Total Requests,Successful Requests,Failed Requests,Execution Time (s),Requests/s,Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%*s),Avg Mem (MB),Peak Mem (MB),Total Mem (MB*s),HTTP Max Workers
dy-elixir-index-1-19-5,dynamic,8,100,100,0,2.157309055328369,46.35404452273936,0.009453520496685743,0.0043820891,8,2.5725000000000002,8.63,5.1450000000000005,83.5275,83.66,167.055,100
dy-elixir-index-1-19-5,dynamic,8,1000,997,3,5.195919513702393,192.4587163759668,0.4525565439244841,0.08709845153125004,16,2.274,9.57,5.6850000000000005,66.256,66.54,165.64000000000001,100
dy-elixir-index-1-19-5,dynamic,8,5000,5000,0,3.3204264640808105,1505.8306678639678,4.61869277979278,1.3909938466507694,13,40.225,123.27,80.45,66.5725,67.04,133.145,100
dy-elixir-index-1-19-5,dynamic,8,8000,8000,0,6.682931661605835,1197.0794263782263,8.48758266180083,1.2700388230157897,19,67.97166666666666,141.24,203.915,68.30499999999999,69.29,204.915,100
dy-elixir-index-1-19-5,dynamic,8,10000,10000,0,7.801023006439209,1281.883157086665,11.719805014622171,1.5023420652583996,25,91.06714285714285,181.13,318.735,66.12857142857142,67.13,231.45,100
dy-elixir-index-1-19-5,dynamic,8,15000,15000,0,12.121874809265137,1237.432347390275,18.490350906074926,1.525370555051613,31,92.98111111111112,152.96,418.415,66.71,67.69,300.195,100
dy-elixir-index-1-19-5,dynamic,8,20000,20000,0,16.11745047569275,1240.8910472635018,19.310899118347475,1.1981360915283015,53,102.17545454545456,156.53,561.965,71.54,72.8,393.47,100
dy-elixir-index-1-19-5,dynamic,8,30000,30000,0,24.225447177886963,1238.367233418257,35.36143435603294,1.459681387772727,77,121.12266666666666,179.48,908.42,65.99066666666667,67.11,494.93,100
dy-elixir-index-1-19-5,dynamic,8,40000,40000,0,32.41621112823486,1233.9505021658615,42.94793671487503,1.324890701907692,91,109.90210526315789,165.02,1044.07,69.23526315789474,70.81,657.735,100
dy-elixir-index-1-19-5,dynamic,8,50000,50000,0,40.2322359085083,1242.7845201968012,74.77278148708511,1.8585291072841463,82,117.90521739130436,172.01,1355.91,68.08434782608695,70.08,782.97,100
dy-elixir-index-1-19-5,dynamic,8,60000,59996,4,48.68988013267517,1232.2889240332047,83.37052435467292,1.7122762292184,125,128.0348148148148,169.65,1728.47,67.50555555555556,69.22,911.325,100
dy-elixir-index-1-19-5,dynamic,8,70000,70000,0,56.609782457351685,1236.5354000916034,105.804155506167,1.869008339431035,116,114.48967741935483,170.04,1774.59,66.89387096774193,68.66,1036.855,100
dy-elixir-index-1-19-5,dynamic,8,80000,80000,0,65.11272621154785,1228.6384652377199,132.7045423074498,2.03807381488374,123,122.66285714285713,171.15,2146.6,69.23857142857143,71.38,1211.675,100
