Container Name,Type,Num CPUs,Total Requests,Successful Requests,Failed Requests,Execution Time (s),Requests/s,Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%*s),Avg Mem (MB),Peak Mem (MB),Total Mem (MB*s),HTTP Max Workers
st-erlang-index-28-4-3,static,8,100,100,0,1.531135082244873,65.31102393224839,0.004591969616203128,0.002999062374999999,4,1.42,2.93,2.13,52.75666666666667,53.14,79.135,100
st-erlang-index-28-4-3,static,8,1000,1000,0,2.798461675643921,357.3391798441913,0.5763238180733394,0.205943080475,4,3.825,13.41,7.65,46.792500000000004,47.22,93.58500000000001,100
st-erlang-index-28-4-3,static,8,5000,5000,0,4.432363986968994,1128.0662000458078,3.3942652085342204,0.765791171147778,18,49.086,131.78,122.715,48.698,49.68,121.745,100
st-erlang-index-28-4-3,static,8,8000,8000,0,6.409915447235107,1248.0663849397217,5.642693136741027,0.880306953062069,29,72.785,153.59,218.355,50.51166666666666,52.95,151.535,100
st-erlang-index-28-4-3,static,8,10000,10000,0,8.16315507888794,1225.0165411977316,8.363071838008814,1.0244901336785714,28,78.73571428571428,144.04,275.575,53.287142857142854,56.41,186.505,100
st-erlang-index-28-4-3,static,8,15000,14997,3,12.584626913070679,1191.930448444257,16.74532203040293,1.3306172798027776,36,91.89777777777778,153.36,413.54,51.86222222222222,56.19,233.38,100
st-erlang-index-28-4-3,static,8,20000,20000,0,17.30662775039673,1155.62663555536,32.8146879360434,1.8960763708164448,45,122.45363636363636,218.79,673.495,54.54727272727273,59.29,300.01,100
st-erlang-index-28-4-3,static,8,30000,30000,0,26.91668200492859,1114.5504484730636,52.2217474037579,1.940125732963514,74,143.08875,209.6,1144.71,60.449374999999996,66.89,483.59499999999997,100
st-erlang-index-28-4-3,static,8,40000,40000,0,35.959983587265015,1112.3475599740186,89.70151554168328,2.4944815484690728,97,169.10999999999999,275.12,1775.655,61.34761904761905,71.55,644.15,100
st-erlang-index-28-4-3,static,8,50000,49965,35,45.07402324676514,1109.286378237567,115.60119220472222,2.5646965564144235,104,158.1172,271.79,1976.465,71.4088,130.9,892.61,100
st-erlang-index-28-4-3,static,8,60000,59920,80,55.02742266654968,1090.365441310648,123.48290278221789,2.2440248297742142,159,173.168,262.22,2597.52,90.21666666666667,180.6,1353.25,100
st-erlang-index-28-4-3,static,8,70000,69902,98,68.77068543434143,1017.8755607552037,160.79806508334553,2.3381774380723153,177,163.4472972972973,247.39,3023.775,120.96135135135134,293.5,2237.785,100
st-erlang-index-28-4-3,static,8,80000,79866,134,85.1049587726593,940.0157306192208,185.852385692592,2.1838020765518387,223,159.538,237.32,3589.605,121.52266666666668,253.8,2734.26,100
