Container Name,Test Type,Num CPUs,Total Messages,Successful Messages,Failed Messages,Execution Time (s),Messages/s,Throughput (MB/s),Avg Latency (ms),Min Latency (ms),Max Latency (ms),Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%*s),Avg Mem (MB),Peak Mem (MB),Total Mem (MB*s),Pattern,Num Clients,Message Size (KB),Rate (msg/s),Bursts,Interval (s),Duration (s)
ws-elixir-bandit-1-8-5,burst_5_8_3_0.5,8,15,15,0,1.521416425704956,9.859233636872084,0.07702526278806315,0.9915908665182845,0.23006799892755225,1.5058959979796782,0.003496826209896663,0.0022984017727272735,11,1.5533333333333335,2.43,2.33,72.88000000000001,72.9,109.32000000000001,burst,5,8,,3,0.5,
ws-elixir-bandit-1-8-5,burst_5_1024_3_0.5,8,15,15,0,1.560788631439209,9.61052617750582,9.61052617750582,10.14587466682618,6.490883999504149,16.387871000915766,0.0023414509692510238,0.0015001717222222224,18,2.615,6.74,5.23,107.705,125.9,215.41,burst,5,1024,,3,0.5,
ws-elixir-bandit-1-8-5,burst_5_65536_3_0.5,8,15,15,0,3.6416499614715576,4.119012029903785,263.61676991384223,541.5022991333293,383.03770100174006,979.4730260000506,2.1344442625884326,0.5861201063173911,23,34.788,154.09,86.97,1191.1492,2341.888,2977.873,burst,5,65536,,3,0.5,
ws-elixir-bandit-1-8-5,burst_50_8_3_0.5,8,150,150,0,1.630558967590332,91.99299318912249,0.7186952592900194,5.057687773393506,0.1949500001501292,38.97410400168155,0.007779831017285991,0.004771266278571427,14,3.4074999999999998,13.03,6.8149999999999995,77.7025,78.56,155.405,burst,50,8,,3,0.5,
ws-elixir-bandit-1-8-5,burst_50_1024_3_0.5,8,150,150,0,1.9884741306304932,75.4347253954161,75.4347253954161,80.91216318003717,13.32938199993805,179.8662940018403,0.10868751352496972,0.054658751577777755,27,34.0875,132.47,68.175,164.2125,214.7,328.425,burst,50,1024,,3,0.5,
ws-elixir-bandit-1-8-5,burst_50_65536_3_0.5,8,150,150,0,24.278390169143677,6.178333858010102,395.41336691264655,6242.948336633199,2360.693825998169,13195.131327000126,74.77441352794405,3.079875272083636,110,225.60600000000002,717.78,1692.045,6673.3676,11868.16,50050.257,burst,50,65536,,3,0.5,
ws-elixir-bandit-1-8-5,burst_100_8_3_0.5,8,300,300,0,1.7106356620788574,175.37340454800508,1.3701047230312897,6.668265336750967,0.48183099715970457,68.82487700204365,0.004996017522587427,0.0029205620070588234,17,5.845,22.61,11.69,85.6625,87.36,171.325,burst,100,8,,3,0.5,
ws-elixir-bandit-1-8-5,burst_100_1024_3_0.5,8,300,300,0,2.404444694519043,124.76893341895247,124.76893341895247,161.50273046002744,6.574113998794928,509.8352620007063,0.30280601133553403,0.12593594355727272,22,59.8425,236.26,119.685,225.295,320.2,450.59,burst,100,1024,,3,0.5,
ws-elixir-bandit-1-8-5,burst_100_65536_3_0.5,8,300,300,0,101.98366737365723,2.94164749832767,188.26543989297087,26931.20055209673,6524.7983489971375,38974.70581900052,276.32601978314557,2.7095124827264416,306,196.30764705882353,782.25,5005.845,12558.118196078432,22384.64,320232.014,burst,100,65536,,3,0.5,
