Container Name,Test Type,Num CPUs,Total Messages,Successful Messages,Failed Messages,Execution Time (s),Messages/s,Throughput (MB/s),Avg Latency (ms),Min Latency (ms),Max Latency (ms),Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%*s),Avg Mem (MB),Peak Mem (MB),Total Mem (MB*s),Pattern,Num Clients,Message Size (KB),Rate (msg/s),Bursts,Interval (s),Duration (s)
ws-elixir-cowboy-1-19-5,stream_5_8_10_5,8,245,245,0,5.03817343711853,48.628734809916,0.3799119907024687,1.3400675550284937,0.2584100002422929,2.1308970026439056,0.021814061977892374,0.004329756061428571,14,1.77,3.94,4.425,78.77799999999999,79.34,196.945,stream,5,8,10,,,5
ws-elixir-cowboy-1-19-5,stream_5_1024_10_5,8,225,225,0,5.128909587860107,43.86897373519015,43.86897373519015,11.969310435670195,2.8262420019018464,22.925663000933127,0.18717130848868802,0.03649339207142857,14,19.634,49.87,49.085,101.95599999999999,118.8,254.89,stream,5,1024,10,,,5
ws-elixir-cowboy-1-19-5,stream_5_65536_10_5,8,48,48,0,5.844040393829346,8.213495589572352,525.6637177326305,433.2618514166218,228.420676998212,889.199158998963,5.549288562670148,0.9495636903074073,27,69.41833333333334,189.92,208.255,1122.1466666666668,1758.208,3366.44,stream,5,65536,10,,,5
ws-elixir-cowboy-1-19-5,stream_50_8_10_5,8,2447,2447,0,5.224041938781738,468.4112472057695,3.659462868795074,2.2220371057993673,0.18885700046666898,44.20941900025355,0.2600485855460858,0.04977919178166665,24,26.894,60.29,67.235,82.898,87.24,207.245,stream,50,8,10,,,5
ws-elixir-cowboy-1-19-5,stream_50_1024_10_5,8,1383,1383,0,5.2682273387908936,262.5171449638715,262.5171449638715,64.39251767178595,3.4051620023092255,179.16599399904953,2.4466114464316138,0.4644088588236842,38,122.946,305.12,307.365,166.344,224.5,415.86,stream,50,1024,10,,,5
ws-elixir-cowboy-1-19-5,stream_50_65536_10_5,8,53,53,0,11.19677734375,4.733504862413327,302.94431119445295,6807.403412886759,765.715674002422,9387.404183999024,19.591651812690095,1.7497580965674988,40,109.25125,497.16,437.005,2568.075,5381.12,10272.3,stream,50,65536,10,,,5
ws-elixir-cowboy-1-19-5,stream_100_8_10_5,8,4885,4885,0,5.291256427764893,923.221179447449,7.212665464433195,2.3080115119995206,0.18102300236932933,30.334610000863904,0.7322764659704334,0.13839368323333331,21,53.45399999999999,115.15,133.635,93.922,104.8,234.805,stream,100,8,10,,,5
ws-elixir-cowboy-1-19-5,stream_100_1024_10_5,8,3207,3207,0,5.50150465965271,582.9314339256501,582.9314339256501,46.46949791766085,3.319955001643393,327.3239369991643,6.727551901797593,1.2228567124802325,43,142.742,303.14,356.85499999999996,197.46800000000002,309.9,493.67,stream,100,1024,10,,,5
ws-elixir-cowboy-1-19-5,stream_100_65536_10_5,8,100,100,0,21.836480379104614,4.579492585979665,293.08752550269855,14420.623566720133,8858.594691999315,20734.470217998023,41.774601193148776,1.9130647644628207,78,139.97714285714287,668.46,979.84,3493.2034285714285,9488.384,24452.424,stream,100,65536,10,,,5
