Container Name,Test Type,Num CPUs,Total Messages,Successful Messages,Failed Messages,Execution Time (s),Messages/s,Throughput (MB/s),Avg Latency (ms),Min Latency (ms),Max Latency (ms),Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%*s),Avg Mem (MB),Peak Mem (MB),Total Mem (MB*s),Pattern,Num Clients,Message Size (KB),Rate (msg/s),Bursts,Interval (s),Duration (s)
ws-erlang-cowboy-28-4-3,burst_5_8_3_0.5,8,15,15,0,1.5214409828186035,9.859074501996902,0.0770240195468508,1.3999659994927545,0.3045659977942705,1.9835710008919705,0.003959747471775988,0.002602629688888889,9,0.7166666666666667,1.12,1.075,106.16666666666667,106.2,159.25,burst,5,8,,3,0.5,
ws-erlang-cowboy-28-4-3,burst_5_1024_3_0.5,8,15,15,0,1.5590977668762207,9.620948935135557,9.620948935135557,10.292223600602787,6.536010001582326,16.629126002953853,0.0046732634024074585,0.002997415237,20,2.0275,4.83,4.055,103.4875,112.5,206.975,burst,5,1024,,3,0.5,
ws-erlang-cowboy-28-4-3,burst_5_65536_3_0.5,8,15,15,0,3.340191125869751,4.490760987844418,287.40870322204273,460.6551202001962,343.1490279981517,815.4078180014039,0.5818119484141469,0.17418522667999994,30,24.75,92.76,49.5,866.844,1278.976,1733.688,burst,5,65536,,3,0.5,
ws-erlang-cowboy-28-4-3,burst_50_8_3_0.5,8,150,150,0,1.655125617980957,90.62756226502067,0.708027830195474,3.76601966653349,0.24429599943687208,30.799888001638465,0.003891222858270706,0.0023510136125000007,16,2.6100000000000003,8.47,5.220000000000001,93.5275,94.91,187.055,burst,50,8,,3,0.5,
ws-erlang-cowboy-28-4-3,burst_50_1024_3_0.5,8,150,150,0,1.9262290000915527,77.8723609668791,77.8723609668791,54.93334886026181,4.912927000987111,192.52827299715136,0.08125601058880533,0.04218398258199999,20,22.95,88.84,45.9,157.5675,193.4,315.135,burst,50,1024,,3,0.5,
ws-erlang-cowboy-28-4-3,burst_50_65536_3_0.5,8,150,150,0,23.60930609703064,6.353426881057958,406.6193203877093,5996.337697106719,2924.870741000632,10393.926930999442,43.539873556307946,1.8441826870034097,88,159.95285714285714,540.83,1119.67,3970.666142857143,5899.264,27794.663,burst,50,65536,,3,0.5,
ws-erlang-cowboy-28-4-3,burst_100_8_3_0.5,8,300,300,0,1.7050328254699707,175.94969171183482,1.3746069664987095,6.30922045323435,0.3152210010739509,37.39426399988588,0.022176931326430626,0.013006747433333335,12,5.3975,21.2,10.795,95.89,98.69,191.78,burst,100,8,,3,0.5,
ws-erlang-cowboy-28-4-3,burst_100_1024_3_0.5,8,300,300,0,2.1750781536102295,137.92607842713844,137.92607842713844,100.92116301340866,3.2004760032577906,313.55559599978733,0.15284856407780334,0.07027267678823533,17,25.1375,96.84,50.275,192.5925,290.0,385.185,burst,100,1024,,3,0.5,
ws-erlang-cowboy-28-4-3,burst_100_65536_3_0.5,8,300,300,0,53.50307011604309,5.607154866988537,358.8579114872664,14523.544446146554,6111.047594000411,24358.95937299938,101.94886347487373,1.9054768867236274,182,158.26689655172413,670.49,2294.87,6180.125172413793,9790.464,89611.815,burst,100,65536,,3,0.5,
