Container Name,Type,Num CPUs,Total Requests,Successful Requests,Failed Requests,Execution Time (s),Requests/s,Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%),Avg Mem (MB),Peak Mem (MB),Total Mem (MB)
st-gleam-index-1-0,static,8,100,100,0,0.09657883644104004,1035.423532577435,0.0005326495958431391,0.005515179261538462,13,1.0866666666666667,2.38,3.26,77.87666666666667,78.74,233.63
st-gleam-index-1-0,static,8,1000,1000,0,0.8226604461669922,1215.5683485930106,0.1610564544993333,0.19577512842599995,10,1.3366666666666667,2.38,4.01,53.953333333333326,54.54,161.85999999999999
st-gleam-index-1-0,static,8,5000,5000,0,3.9766039848327637,1257.3542698922472,3.1931340369153993,0.8029801431307692,26,75.30799999999999,187.1,376.53999999999996,62.657999999999994,69.49,313.28999999999996
st-gleam-index-1-0,static,8,8000,8000,0,6.329636096954346,1263.8957244081362,6.4789870603697555,1.0235955055121215,33,98.47666666666667,213.16,590.86,55.595,59.17,333.57
st-gleam-index-1-0,static,8,10000,10000,0,7.844627857208252,1274.7577300064304,10.467967307281556,1.3344122242411762,34,97.11428571428571,183.52,679.8,61.96714285714285,66.72,433.77
st-gleam-index-1-0,static,8,15000,15000,0,11.038717031478882,1358.8535657925472,21.447821367651354,1.9429632362609752,41,119.88375,197.15,959.07,58.18,61.06,465.44
st-gleam-index-1-0,static,8,20000,20000,0,17.67678189277649,1131.4276615119,28.654418527797247,1.621020087344445,63,127.13,200.98,1525.56,60.01916666666667,66.2,720.23
st-gleam-index-1-0,static,8,30000,28231,1769,31.5044264793396,952.2471396098516,47.21656945974366,1.4987281070076925,91,119.33055555555555,194.71,2147.95,59.83277777777778,65.21,1076.99
st-gleam-index-1-0,static,8,40000,28232,11768,58.664520025253296,681.8431307846926,91.34028419732779,1.556993633596739,92,66.1990625,206.58,2118.37,65.5359375,72.47,2097.15
st-gleam-index-1-0,static,8,50000,36912,13088,69.81295323371887,716.1994684942015,109.38230294901746,1.5667909446951607,124,78.10447368421053,211.35,2967.9700000000003,63.95236842105263,66.67,2430.19
st-gleam-index-1-0,static,8,60000,46918,13082,79.99113607406616,750.0831085139762,131.6976771053792,1.6464033837878789,132,84.92999999999999,206.57,3651.99,60.630465116279076,70.99,2607.11
st-gleam-index-1-0,static,8,70000,56463,13537,92.28523468971252,758.5178738002736,158.32175258199905,1.715569702069013,162,94.52591836734695,211.86,4631.77,57.74,64.88,2829.26
st-gleam-index-1-0,static,8,80000,56464,23536,121.62894678115845,657.738162807086,197.27970290073168,1.6219798668131877,182,72.86079365079364,203.12,4590.23,61.35174603174603,69.35,3865.16
