Container Name,Type,Num CPUs,Total Requests,Successful Requests,Failed Requests,Execution Time (s),Requests/s,Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%*s),Avg Mem (MB),Peak Mem (MB),Total Mem (MB*s),HTTP Max Workers
st-erlang-index-28-4-3,static,8,100,100,0,0.09067869186401367,1102.7949118406452,0.0008616173078039216,0.00950187183,5,0.5566666666666666,1.51,0.835,51.826666666666675,51.84,77.74000000000001,System default
st-erlang-index-28-4-3,static,8,1000,1000,0,1.3225269317626953,756.1282692876252,0.2903503371119007,0.21954209788750004,8,1.02,1.99,1.53,46.77,47.1,70.155,System default
st-erlang-index-28-4-3,static,8,5000,5000,0,3.199584484100342,1562.702914971129,4.185894974981548,1.3082620558333333,12,37.585,125.28,75.17,50.004999999999995,52.05,100.00999999999999,System default
st-erlang-index-28-4-3,static,8,8000,8000,0,5.501081228256226,1454.2595660845932,8.088072469583103,1.4702695950095837,24,82.334,170.74,205.835,50.510000000000005,52.64,126.275,System default
st-erlang-index-28-4-3,static,8,10000,10000,0,7.121376037597656,1404.2229966799262,9.776719042662839,1.372869371178571,28,84.55499999999999,170.11,253.665,52.370000000000005,55.61,157.11,System default
st-erlang-index-28-4-3,static,8,15000,15000,0,11.143775701522827,1346.042885442338,22.360949939672935,2.0065865052019354,31,109.61625,190.64,438.465,54.4325,62.92,217.73,System default
st-erlang-index-28-4-3,static,8,20000,20000,0,15.490635633468628,1291.1026037426486,32.477959459072856,2.0966189010928575,42,126.48400000000001,197.08,632.4200000000001,60.892999999999994,67.34,304.465,System default
st-erlang-index-28-4-3,static,8,30000,30000,0,24.777416944503784,1210.7799641582376,54.309454710569405,2.191893320930555,72,152.77066666666667,243.41,1145.78,67.486,94.92,506.145,System default
st-erlang-index-28-4-3,static,8,40000,40000,0,33.07117581367493,1209.5124837823275,88.8025100568783,2.685193612625,88,181.7957894736842,265.74,1727.06,76.42,121.5,725.99,System default
st-erlang-index-28-4-3,static,8,50000,49999,1,43.296764850616455,1154.8206932437379,102.75277810599111,2.3732206889016125,124,176.6575,260.87,2119.89,94.14999999999999,178.1,1129.8,System default
st-erlang-index-28-4-3,static,8,60000,60000,0,54.9788920879364,1091.3279209779737,165.41700891680264,3.008736673926153,130,187.81266666666667,281.6,2817.19,121.73700000000001,237.3,1826.055,System default
st-erlang-index-28-4-3,static,8,70000,70000,0,69.87661242485046,1001.7657921709103,189.4516191578124,2.7112307334812504,160,166.9857894736842,258.66,3172.73,131.99657894736842,249.7,2507.935,System default
st-erlang-index-28-4-3,static,8,80000,80000,0,87.14814472198486,917.9770866633079,234.09117928004434,2.686129234613415,205,175.95021739130434,254.06,4046.855,143.54260869565218,295.7,3301.48,System default
