Container Name,Type,Num CPUs,Total Requests,Successful Requests,Failed Requests,Execution Time (s),Requests/s,Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%*s),Avg Mem (MB),Peak Mem (MB),Total Mem (MB*s),HTTP Max Workers
st-gleam-pure-1-15-2,static,8,100,100,0,0.10224366188049316,978.0557362752162,0.00058085972172054,0.005681131827999999,5,0.4066666666666667,1.03,0.61,53.24666666666667,53.28,79.87,System default
st-gleam-pure-1-15-2,static,8,1000,1000,0,0.7848823070526123,1274.0763691759048,0.172384972162536,0.2196316194333333,6,0.39999999999999997,0.84,0.6,56.60999999999999,58.12,84.91499999999999,System default
st-gleam-pure-1-15-2,static,8,5000,5000,0,3.7901809215545654,1319.1982397371205,2.565699478939253,0.676933247262222,18,44.763999999999996,131.48,111.91,60.266,63.12,150.665,System default
st-gleam-pure-1-15-2,static,8,8000,8000,0,6.118930101394653,1307.4181053607076,5.54484057637428,0.9061781201113043,23,62.940000000000005,129.77,188.82000000000002,56.18666666666667,59.71,168.56,System default
st-gleam-pure-1-15-2,static,8,10000,10000,0,7.399126291275024,1351.510922552018,8.846426615307422,1.195604219614286,21,60.63166666666667,112.38,181.895,58.471666666666664,60.31,175.415,System default
st-gleam-pure-1-15-2,static,8,15000,15000,0,10.670515537261963,1405.742763563697,17.63552122422859,1.6527337561755555,27,68.155,113.25,272.62,60.42875,63.39,241.715,System default
st-gleam-pure-1-15-2,static,8,20000,20000,0,16.86441421508789,1185.9291253713889,18.39518419211454,1.0907692349999998,57,81.10363636363637,125.17,446.07,57.46000000000001,61.36,316.03000000000003,System default
st-gleam-pure-1-15-2,static,8,30000,28231,1769,30.50156569480896,983.5560672580713,44.000232549029114,1.4425565228121218,66,75.89388888888888,125.0,683.045,60.09055555555556,64.43,540.815,System default
st-gleam-pure-1-15-2,static,8,40000,28232,11768,56.685678005218506,705.6456129239133,81.85909164097947,1.4440877223598436,64,39.80612903225806,120.07,616.995,62.81290322580645,67.18,973.6,System default
st-gleam-pure-1-15-2,static,8,50000,36408,13592,68.90319657325745,725.6557385815956,93.70707264657092,1.359981500233333,93,50.800810810810816,137.09,939.815,63.05567567567567,67.57,1166.53,System default
st-gleam-pure-1-15-2,static,8,60000,46479,13521,78.31103491783142,766.1755468173235,106.65435711135174,1.3619326730040002,100,48.58261904761905,112.81,1020.235,64.49595238095237,72.81,1354.415,System default
st-gleam-pure-1-15-2,static,8,70000,56437,13563,89.81568217277527,779.3739167436647,130.6747845506077,1.4549216950691666,120,54.060624999999995,125.5,1297.455,62.572916666666664,68.34,1501.75,System default
st-gleam-pure-1-15-2,static,8,80000,56464,23536,118.1188907623291,677.2837052878411,166.34174024082878,1.4082568771792012,125,41.29129032258064,114.26,1280.03,55.597096774193545,62.98,1723.51,System default
